krz,ort
A,kreisfreie Stadt Augsburg und Landkreis Augsburg
AA,Landkreis Aalen
AB,kreisfreie Stadt Aschaffenburg und Landkreis Aschaffenburg
ABG,Landkreis Altenburg
ABI,Landkreis Anhalt-Bitterfeld
AC,kreisfreie Stadt Aachen und Landkreis Aachen
AE,Landkreis Auerbach
AG,Helgoland
AH,Landkreis Ahaus
AIB,Landkreis Bad Aibling
AIC,Landkreis Aichach
AK,Landkreis Altenkirchen (Westerwald)
AL,Landkreis Altena
ALF,Landkreis Alfeld (Leine)
ALS,Landkreis Alsfeld
ALZ,Landkreis Alzenau in Unterfranken
AM,kreisfreie Stadt und Landkreis Amberg
AN,kreisfreie Stadt Ansbach und Landkreis Ansbach
ANA,Landkreis Annaberg
ANG,Landkreis Angermünde
ANK,Landkreis Anklam
AÖ,Landkreis Altötting
AP,Landkreis Weimarer Land
APD,Landkreis Apolda
AR,Landkreis Arnsberg
ARN,Landkreis Arnstadt
ART,Landkreis Artern
AS,Landkreis Amberg-Sulzbach
ASD,Landkreis Aschendorf-Hümmling
ASL,Landkreis Aschersleben
ASZ,Landkreis Aue-Schwarzenberg
AT,Landkreis Altentreptow
AU,Landkreis Aue
AUR,Landkreis Aurich (Ostfriesland)
AW,Landkreis Ahrweiler
AZ,Landkreis Alzey
AZE,Landkreis Anhalt-Zerbst
B,Berlin (West)
BA,kreisfreie Stadt Bamberg und Landkreis Bamberg
BAD,Stadtkreis Baden-Baden
BAR,Landkreis Barnim
BB,Landkreis Böblingen
BBG,Landkreis Bernburg
BC,Landkreis Biberach
BCH,Landkreis Buchen
BE,Landkreis Beckum
BED,Landkreis Brand-Erbisdorf
BEI,Landkreis Beilngries
BEL,Landkreis Belzig
BER,Landkreis Bernau
BF,Landkreis Steinfurt
BGD,Landkreis Berchtesgaden
BGL,Landkreis Berchtesgadener Land
BH,Landkreis Bühl
BI,kreisfreie Stadt Bielefeld und Landkreis Bielefeld
BID,Landkreis Biedenkopf
BIN,Landkreis Bingen
BIR,Landkreis Birkenfeld
BIT,Landkreis Bitburg
BIW,Landkreis Bischofswerda
BKI,Landkreis Backnang
BKII,Landkreis Börde
BKS,Landkreis Bernkastel
BL,Landkreis Balingen
BLB,Landkreis Wittgenstein
BLK,Burgenlandkreis
BM,Landkreis Bergheim (Erft)
BN,kreisfreie Stadt Bonn und Landkreis Bonn
BNA,Landkreis Borna
BO,kreisfreie Stadt Bochum
BÖ,Bördekreis
BOG,Landkreis Bogen
BOH,kreisfreie Stadt Bocholt
BOR,Landkreis Borken
BOT,kreisfreie Stadt Bottrop
BR,Landkreis Bruchsal
BRA,Landkreis Wesermarsch
BRB,kreisfreie Stadt Brandenburg an der Havel und Landkreis Brandenburg
BRG,Landkreis Burg
BRI,Landkreis Brilon
BRK,Landkreis Brückenau
BRL,Landkreis Blankenburg
BRV,Landkreis Bremervörde
BS,kreisfreie Stadt Braunschweig und Landkreis Braunschweig
BSB,Landkreis Bersenbrück
BSK,Landkreis Beeskow
BT,kreisfreie Stadt Bayreuth und Landkreis Bayreuth
BTF,Landkreis Bitterfeld
BU,Landkreis Burgdorf
BÜD,Landkreis Büdingen
BUL,Landkreis Burglengenfeld
BÜR,Landkreis Büren
BÜS,Gemeinde Büsingen am Hochrhein im Landkreis Konstanz
BÜZ,Landkreis Bützow
BZ,Landkreis Bautzen
BZA,Landkreis Bergzabern
C,kreisfreie Stadt Chemnitz und Landkreis Chemnitz
CA,Landkreis Calau
CAS,kreisfreie Stadt Castrop-Rauxel
CB,kreisfreie Stadt Cottbus und Landkreis Cottbus
CE,kreisfreie Stadt Celle und Landkreis Celle
CHA,Landkreis Cham
CLP,Landkreis Cloppenburg
CLZ,Landkreis Zellerfeld
CO 1,kreisfreie Stadt Coburg und Landkreis Coburg
COC,Landkreis Cochem
COE,Landkreis Coesfeld
CR,Landkreis Crailsheim
CUX,kreisfreie Stadt Cuxhaven
CW,Landkreis Calw
D,kreisfreie Stadt Düsseldorf und Landkreis Düsseldorf-Mettmann
DA,kreisfreie Stadt Darmstadt und Landkreis Darmstadt
DAH,Landkreis Dachau
DAN,Landkreis Lüchow-Dannenberg
DAU,Landkreis Daun
DBR,Landkreis Bad Doberan
DD,kreisfreie Stadt Dresden und Landkreis Dresden
DE,kreisfreie Stadt Dessau
DEG,kreisfreie Stadt Deggendorf und Landkreis Deggendorf
DEL,kreisfreie Stadt Delmenhorst
DGF,Landkreis Dingolfing
DH,Landkreis Grafschaft Diepholz
DI,Landkreis Dieburg
DIL,Dillkreis
DIN,Landkreis Dinslaken
DIZ,Unterlahnkreis
DKB,Landkreis Dinkelsbühl
DL,Landkreis Döbeln
DLG,kreisfreie Stadt Dillingen a.d.Donau und Landkreis Dillingen a.d.Donau
DM,Landkreis Demmin
DN,Landkreis Düren
DO,kreisfreie Stadt Dortmund
DON,Landkreis Donauwörth
DS,Landkreis Donaueschingen 
DT,Landkreis Detmold
DU,kreisfreie Stadt Duisburg
DUD,Landkreis Duderstadt
DÜW,Landkreis Bad Dürkheim
DW,Landkreis Dippoldiswalde
DZ,Landkreis Delitzsch
E,kreisfreie Stadt Essen
EA,kreisfreie Stadt Eisenach
EB,Landkreis Eilenburg
EBE,Landkreis Ebersberg
EBN,Landkreis Ebern
EBS,Landkreis Ebermannstadt
ECK,Kreis Eckernförde
ED,Landkreis Erding
EE,Landkreis Elbe-Elster
EF,kreisfreie Stadt Erfurt und Landkreis Erfurt
EG,Landkreis Eggenfelden
EH,kreisfreie Stadt Eisenhüttenstadt und Landkreis Eisenhüttenstadt
EHI,Landkreis Ehingen
EI,Landkreis Eichstätt
EIC,Landkreis Eichsfeld
EIH,kreisfreie Stadt Eichstätt und Landkreis Eichstätt
EIL,Landkreis Eisleben
EIN,Landkreis Einbeck
EIS,Landkreis Eisenberg
EL,Landkreis Emsland
EM,Landkreis Emmendingen
EMD,kreisfreie Stadt Emden
EMS,Rhein-Lahn-Kreis
EN,Ennepe-Ruhr-Kreis
ER,kreisfreie Stadt Erlangen und Landkreis Erlangen
ERB,Landkreis Erbach
ERH,Landkreis Erlangen-Höchstadt
ERK,Landkreis Erkelenz
ERZ,Erzgebirgskreis
ES,Landkreis Eßlingen
ESA,Landkreis Eisenach
ESB,Landkreis Eschenbach i.d.OPf.
ESW,Landkreis Eschwege
EU,Landkreis Euskirchen
EUT,Kreis Eutin
EW,Landkreis Eberswalde
F,kreisfreie Stadt Frankfurt am Main
FAL,Landkreis Fallingbostel
FB,Landkreis Friedberg in Hessen
FD,kreisfreie Stadt Fulda und Landkreis Fulda
FDB,Landkreis Friedberg in Bayern
FDS,Landkreis Freudenstadt
FEU,Landkreis Feuchtwangen
FF,kreisfreie Stadt Frankfurt (Oder)
FFB,Landkreis Fürstenfeldbruck
FG,Landkreis Freiberg
FH,Main-Taunus-Kreis
FI,Landkreis Finsterwalde
FKB,Landkreis Frankenberg
FL,kreisfreie Stadt Flensburg und Kreis Flensburg-Land
FLÖ,Landkreis Flöha
FN,Bodenseekreis
FO,kreisfreie Stadt Forchheim und Landkreis Forchheim
FOR,Landkreis Forst
FR,Stadtkreis Freiburg im Breisgau und Landkreis Freiburg
FRG,Landkreis Freyung-Grafenau
FRI,Landkreis Friesland
FRW,Landkreis Bad Freienwalde
FS,kreisfreie Stadt Freising und Landkreis Freising
FT,kreisfreie Stadt Frankenthal (Pfalz) und Landkreis Frankenthal (Pfalz)
FTL,Landkreis Freital
FÜ,kreisfreie Stadt Fürth und Landkreis Fürth
FÜS,Landkreis Füssen
FW,Landkreis Fürstenwalde
FZ,Landkreis Fritzlar-Homberg
G,kreisfreie Stadt Gera und Landkreis Gera
GA,Landkreis Gardelegen
GAN,Landkreis Gandersheim
GAP,Landkreis Garmisch-Partenkirchen
GC,Landkreis Glauchau
GD,Landkreis Schwäbisch Gmünd
GDB,Landkreis Gadebusch
GE,kreisfreie Stadt Gelsenkirchen
GEL,Landkreis Geldern
GEM,Landkreis Gemünden
GEO,Landkreis Gerolzhofen
GER,Landkreis Germersheim
GF,Landkreis Gifhorn
GG,Kreis Groß-Gerau
GHA,Landkreis Geithain
GHC,Landkreis Gräfenhainichen
GI,kreisfreie Stadt Gießen und Landkreis Gießen
GK,Selfkantkreis Geilenkirchen-Heinsberg
GL,Rheinisch-Bergischer Kreis
GLA,kreisfreie Stadt Gladbeck
GM,Oberbergischer Kreis
GMN,Landkreis Grimmen
GN,Landkreis Gelnhausen
GNT,Landkreis Genthin
GÖ,kreisfreie Stadt Göttingen und Landkreis Göttingen
GOA,Landkreis Sankt Goar
GOH,Landkreis Sankt Goarshausen
GP,Landkreis Göppingen
GR,kreisfreie Stadt Görlitz und Landkreis Görlitz
GRA,Landkreis Grafenau
GRH,Landkreis Großenhain
GRI,Landkreis Griesbach i.Rottal
GRM,Landkreis Grimma
GRS,Landkreis Gransee
GRZ,Landkreis Greiz
GS,kreisfreie Stadt Goslar und Landkreis Goslar
GT,Kreis Gütersloh
GTH,Landkreis Gotha
GÜ,Landkreis Güstrow
GUB,Landkreis Guben
GUN,Landkreis Gunzenhausen
GV,Landkreis Grevenbroich
GVM,Landkreis Grevesmühlen
GW,Landkreis Greifswald
GZ,kreisfreie Stadt Günzburg und Landkreis Günzburg
H,kreisfreie Stadt Hannover und Landkreis Hannover
HA,kreisfreie Stadt Hagen
HAB,Landkreis Hammelburg
HAL,kreisfreie Stadt Halle (Saale)
HAM,kreisfreie Stadt Hamm
HAS,Landkreis Haßfurt
HB,kreisfreie Stadt Bremen und kreisfreie Stadt Bremerhaven
HBN,Landkreis Hildburghausen
HBS,Landkreis Halberstadt
HC,Landkreis Hainichen
HCH,Landkreis Hechingen
HD,Stadtkreis Heidelberg und Landkreis Heidelberg
HDH,Landkreis Heidenheim
HDL,Landkreis Haldensleben
HE,Landkreis Helmstedt
HEB,Landkreis Hersbruck
HEF,Landkreis Hersfeld
HEI,Kreis Norderdithmarschen
HER,kreisfreie Stadt Herne
HET,Landkreis Hettstedt
HF,kreisfreie Stadt Herford und Landkreis Herford
HG,Obertaunuskreis
HGN,Landkreis Hagenow
HGW,Hansestadt Greifswald
HH,Hansestadt Hamburg
HHM,Landkreis Hohenmölsen
HI,kreisfreie Stadt Hildesheim und Landkreis Hildesheim-Marienburg
HIG,Landkreis Heiligenstadt
HIP,Landkreis Hilpoltstein
HK,Landkreis Heidekreis
HL,Hansestadt Lübeck
HM,kreisfreie Stadt Hameln und Landkreis Hameln-Pyrmont
HMÜ,Landkreis Münden
HN,Stadtkreis Heilbronn und Landkreis Heilbronn
HO,kreisfreie Stadt Hof und Landkreis Hof
HOG,Landkreis Hofgeismar
HOH,Landkreis Hofheim i.UFr.
HOL,Landkreis Holzminden
HOM,Landkreis Homburg
HOR,Landkreis Horb
HÖS,Landkreis Höchstadt a.d.Aisch
HOT,Landkreis Hohenstein-Ernstthal
HP,Landkreis Bergstraße
HR,Schwalm-Eder-Kreis
HRO,Hansestadt Rostock
HS,Kreis Heinsberg
